,0
4,JLR
10,GAY
29,HRI
30,MEL
37,HYD
42,IXC
44,NDC
52,HKG
58,IDR
65,MAA
87,GOI
91,DXB
96,AUH
99,KLH
106,ATQ
120,IXQ
126,CAN
147,PUT
157,CPH
169,JFK
175,GAU
179,AMD
182,RMD
185,SYD
196,RPR
198,BKB
209,MCT
231,BBI
234,PNQ
235,BKK
249,PNY
260,CMB
261,PAT
280,SIN
284,BEK
292,COK
303,IXE
329,LKO
337,NMB
338,IXG
348,SFO
384,PYB
391,JAI
415,JSA
418,DED
420,BAH
424,IXK
442,DHA
445,YVR
452,RTC
456,IXB
474,UDR
487,KUU
493,DMM
494,CCU
499,KUL
515,GUX
526,BDQ
533,VTZ
538,JED
546,IXJ
547,DHM
549,IXZ
565,YYZ
568,BOM
573,VNS
577,LTU
581,BHO
608,IXL
618,IXU
620,TAS
627,WGC
634,MAD
635,SXR
644,SSE
651,STV
654,SLV
661,SVO
675,NAG
677,RUP
686,JDH
689,BLR
